;Country Name;Country Code;Indicator Name;Indicator Code;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
108225;Brazil;BRA;Access to clean fuels and technologies for cooking (% of population);EG.CFT.ACCS.ZS;89.0;89.599998;90.199997;90.599998;91.099998;91.599998;92.099998;92.699997;93.099998;93.599998;94.0;94.400002;94.800003;95.0;95.199997;95.5;95.599998;95.599998;95.800003;95.900002;
108226;Brazil;BRA;Access to electricity (% of population);EG.ELC.ACCS.ZS;94.3640060424805;96.016528;96.652996;96.980098;96.765107;97.093513;97.594314;98.125382;98.526625;98.856938;99.3521728515625;99.328691;99.519494;99.575151;99.650247;99.710902;99.7;99.8;99.7;99.8;
108227;Brazil;BRA;Access to electricity, rural (% of rural population);EG.ELC.ACCS.RU.ZS;74.2241458861156;81.8757629639867;84.1179544418392;85.3215354534796;83.4505451004087;84.8305345115422;87.1654186720447;89.7762109860306;91.852255858914;93.6173981814944;97.5246651658721;96.1905874295669;97.2218134711631;97.5020334516603;97.9100770443521;98.2324092437609;98.4671299794553;99.169593168469;98.4109075957178;98.4820886636258;
108228;Brazil;BRA;Access to electricity, urban (% of urban population);EG.ELC.ACCS.UR.ZS;99.0293731689453;99.215119;99.426994;99.504184;99.585301;99.634816;99.708742;99.781449;99.821747;99.85168;99.6916275024414;99.898571;99.927418;99.935013;99.945554;99.956197;99.9;99.9;99.9;100.0;
108229;Brazil;BRA;Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+);FX.OWN.TOTL.ZS;;;;;;;;;;;;55.8603820800781;;;68.1231536865234;;;70.0439453125;;;
108230;Brazil;BRA;Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+);FX.OWN.TOTL.FE.ZS;;;;;;;;;;;;51.0178451538086;;;64.7733154296875;;;67.5146484375;;;
108231;Brazil;BRA;Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+);FX.OWN.TOTL.MA.ZS;;;;;;;;;;;;61.0977363586426;;;71.6884231567383;;;72.847541809082;;;
108232;Brazil;BRA;Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+);FX.OWN.TOTL.OL.ZS;;;;;;;;;;;;61.9852600097656;;;73.0215759277344;;;77.2300415039063;;;
108233;Brazil;BRA;Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+);FX.OWN.TOTL.40.ZS;;;;;;;;;;;;37.5270500183105;;;57.2280464172363;;;56.6252403259277;;;
108234;Brazil;BRA;Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+);FX.OWN.TOTL.PL.ZS;;;;;;;;;;;;47.151912689209;;;59.946704864502;;;62.8971939086914;;;
108235;Brazil;BRA;Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+);FX.OWN.TOTL.60.ZS;;;;;;;;;;;;68.0752410888672;;;75.3735580444336;;;78.9749145507813;;;
108236;Brazil;BRA;Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+);FX.OWN.TOTL.SO.ZS;;;;;;;;;;;;63.8300361633301;;;74.7852783203125;;;74.3877487182617;;;
108237;Brazil;BRA;Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24);FX.OWN.TOTL.YG.ZS;;;;;;;;;;;;36.3426971435547;;;52.5523796081543;;;46.6677513122559;;;
108238;Brazil;BRA;Adequacy of social insurance programs (% of total welfare of beneficiary households);per_si_allsi.adq_pop_tot;;;;;;;46.6679006183766;;;47.5382875354624;;48.0808206957004;46.5212209339476;;;48.3650297879814;42.8991816483418;43.2640108262153;43.5486015845925;44.290198879895;
108239;Brazil;BRA;Adequacy of social protection and labor programs (% of total welfare of beneficiary households);per_allsp.adq_pop_tot;;;;;;;46.6679006183766;;;40.9706820023791;;40.6013716491013;39.4731116204217;;;44.7608888817092;40.8030328027819;41.3185862448263;41.7901564398711;42.3305895103391;
108240;Brazil;BRA;Adequacy of social safety net programs (% of total welfare of beneficiary households);per_sa_allsa.adq_pop_tot;;;;;;;;;;9.42544500233656;;8.30441828272541;9.09803054162119;;;17.2683792834211;19.0835351209064;19.9699857556824;20.4182962700476;21.0544062558906;
108241;Brazil;BRA;Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households);per_lm_alllm.adq_pop_tot;;;;;;;;;;;;;;;;;31.0790583662355;28.852899848806;31.0627642183218;28.8673932590933;
